,S1,S13,S14,S16,S17,S18,S19,S20,S21,S22,S23,S24,S32,S34,S35,S4,S5,S6
Vom2r3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rab39a,72,330,382,392,458,333,445,465,286,430,443,492,340,511,309,306,480,345
Fdxacb1,106,96,137,135,132,119,144,164,130,131,131,157,136,157,163,143,152,107
Mrpl52,2231,965,1371,1266,1819,1417,2159,1711,1421,1659,1411,1665,1680,1958,1809,1636,2158,1649
Rrlt,1,2,4,2,4,5,5,3,3,3,4,0,3,5,8,3,1,4
Ensa,15555,12717,14403,13951,16813,12593,15919,14470,11461,12861,13989,16683,13003,17010,14541,13303,16798,10279
Tpm1,6118,6280,6972,7064,7260,6219,5793,7203,4960,6853,7407,6205,6533,7826,6364,5755,6952,6499
Efhd2,7119,8459,9694,9557,11726,10400,8261,11149,7767,11401,9849,10056,11200,12679,10776,8222,10720,8612
Aaas,870,737,894,793,936,843,680,891,569,848,853,719,780,1126,742,663,898,775
Nsun4,783,923,1182,1005,1225,1092,1010,1318,1010,1183,1096,1087,1201,1704,1238,994,1190,1079
Ubl4a,1723,1578,2130,1762,2366,1817,2855,2728,1941,2763,2349,2947,2175,2679,1955,1993,2811,1934
Otub1,13582,8275,10426,9855,11796,10457,10664,11502,8200,11276,12495,11758,9923,12386,10789,10259,12807,9034
Slc25a41,3,2,0,4,2,6,5,4,3,4,2,0,3,5,5,4,4,3
Bach1,56,359,413,346,470,355,337,619,386,498,503,366,523,749,625,324,450,755
Ccr1l1,3,2,5,2,5,4,18,9,6,5,8,4,7,5,8,6,5,5
Xcr1,1,1,1,2,2,1,5,5,7,3,0,0,4,11,9,6,9,8
Csf3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0
Shh,15,39,32,44,48,51,27,34,25,53,53,16,45,42,37,29,33,41
Eloa,395,1014,1244,1058,1301,1050,992,1438,919,1399,1355,1123,1228,1825,1363,849,1307,1346
Cox4i1,42077,16606,21297,20071,30090,21768,54482,32161,27289,29277,24461,48542,25799,31241,27424,30939,41869,20280
Arg1,434,233,330,247,265,282,301,396,263,296,325,268,306,419,145,305,358,333
Thbs4,3,12,9,8,8,10,6,7,6,7,15,7,12,16,30,13,16,28
Rcn2,4978,4662,5854,5381,6004,5098,5396,6872,4507,6025,5740,6117,5942,8398,5247,5599,6180,5053
Neu2,24,17,44,23,21,31,24,66,32,117,48,56,76,45,38,32,46,23
Inhba,79,114,133,144,144,146,59,91,44,73,89,49,95,128,813,53,50,83
Fdx1,615,358,384,378,563,398,998,608,528,524,412,720,503,703,465,580,757,489
Cd63,5743,2826,4478,3763,5777,4449,9438,6379,5495,5139,4881,6188,7720,10385,9901,5292,10448,7650
Cyp2b12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vdr,0,7,21,13,9,11,3,11,7,14,10,6,12,16,22,8,13,5
Tnp2,4,4,11,3,9,7,9,13,7,9,10,8,6,10,6,11,4,7
Tnp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tbxa2r,51,43,40,38,54,68,37,71,32,58,68,26,64,61,55,43,44,78
